,carat,cut,color,clarity,depth,table,price,x,y,z,clarity_num,color_num
12796,1.11,Very Good,H,SI1,62.5,58.0,5335.0,6.61,6.64,4.14,2.0,2.0
12797,1.34,Very Good,J,SI2,62.7,56.0,5335.0,7.05,7.08,4.43,1.0,0.0
12798,1.09,Premium,H,SI1,59.8,60.0,5335.0,6.72,6.66,4.0,2.0,2.0
12799,1.03,Ideal,G,SI1,62.5,57.0,5337.0,6.4,6.49,4.03,2.0,3.0
12800,0.7,Ideal,E,VVS1,61.9,56.0,5338.0,5.66,5.69,3.51,6.0,5.0
12801,0.7,Ideal,E,VVS1,61.8,55.0,5338.0,5.69,5.73,3.53,6.0,5.0
12802,1.13,Premium,H,SI1,61.4,59.0,5338.0,6.73,6.68,4.12,2.0,2.0
12803,1.01,Very Good,E,SI1,62.3,56.0,5339.0,6.36,6.42,3.98,2.0,5.0
12804,1.01,Very Good,E,SI1,61.1,57.0,5339.0,6.43,6.46,3.94,2.0,5.0
12805,1.14,Ideal,J,VS1,61.6,56.0,5339.0,6.71,6.73,4.14,4.0,0.0
12806,1.01,Very Good,E,SI2,60.2,60.0,5340.0,6.46,6.5,3.9,1.0,5.0
12807,1.21,Ideal,J,SI1,61.9,54.0,5341.0,6.85,6.88,4.25,2.0,0.0
12808,1.0,Very Good,D,SI1,62.3,59.0,5342.0,6.26,6.29,3.91,2.0,6.0
12809,0.91,Very Good,D,SI1,62.0,59.0,5342.0,6.19,6.16,3.83,2.0,6.0
12810,1.06,Ideal,G,SI1,62.0,57.0,5342.0,6.54,6.5,4.04,2.0,3.0
12811,1.05,Ideal,H,SI1,61.9,57.0,5342.0,6.54,6.57,4.06,2.0,2.0
12812,1.13,Ideal,F,SI1,59.7,57.0,5342.0,6.82,6.79,4.06,2.0,4.0
12813,1.04,Premium,H,VS2,59.6,58.0,5344.0,6.63,6.55,3.93,3.0,2.0
12814,1.0,Good,E,SI1,57.2,62.0,5345.0,6.59,6.56,3.76,2.0,5.0
12815,1.01,Premium,F,SI1,62.3,58.0,5345.0,6.44,6.41,4.0,2.0,4.0
12816,1.01,Premium,F,SI1,59.8,60.0,5345.0,6.57,6.53,3.92,2.0,4.0
12817,1.01,Premium,F,SI1,62.2,59.0,5345.0,6.41,6.36,3.97,2.0,4.0
12818,1.01,Premium,F,SI1,60.6,59.0,5345.0,6.52,6.49,3.94,2.0,4.0
12819,1.01,Ideal,F,SI1,60.9,55.0,5345.0,6.5,6.48,3.95,2.0,4.0
12820,1.02,Ideal,G,VS2,62.4,57.0,5346.0,6.47,6.36,4.0,3.0,3.0
12821,1.21,Very Good,I,SI1,62.8,57.0,5346.0,6.73,6.8,4.25,2.0,1.0
12822,1.02,Premium,G,VS2,61.5,59.0,5346.0,6.45,6.4,3.95,3.0,3.0
12823,1.11,Premium,G,VS2,61.0,59.0,5346.0,6.7,6.67,4.08,3.0,3.0
12824,1.1,Ideal,H,VS2,60.5,57.0,5347.0,6.73,6.7,4.06,3.0,2.0
12825,1.07,Ideal,G,SI1,61.9,55.0,5347.0,6.57,6.62,4.08,2.0,3.0
12826,1.05,Ideal,I,VS2,60.2,57.0,5347.0,6.6,6.65,3.99,3.0,1.0
12827,1.05,Ideal,F,SI2,61.9,56.0,5347.0,6.48,6.5,4.02,1.0,4.0
12828,1.0,Premium,F,VS2,61.3,59.0,5347.0,6.39,6.35,3.9,3.0,4.0
12829,1.02,Fair,E,VS2,66.6,57.0,5350.0,6.09,6.14,4.07,3.0,5.0
12830,1.0,Very Good,E,SI1,59.6,60.0,5351.0,6.43,6.48,3.85,2.0,5.0
12831,1.0,Very Good,E,SI1,61.2,60.0,5351.0,6.39,6.42,3.92,2.0,5.0
12832,1.05,Premium,D,SI1,61.6,61.0,5351.0,6.55,6.5,4.02,2.0,6.0
12833,1.5,Premium,J,SI2,61.3,59.0,5351.0,7.38,7.33,4.51,1.0,0.0
12834,1.2,Very Good,H,SI2,62.0,58.0,5352.0,6.73,6.79,4.19,1.0,2.0
12835,1.2,Very Good,I,SI1,63.8,57.0,5352.0,6.64,6.72,4.26,2.0,1.0
12836,1.05,Ideal,I,VVS2,61.8,54.0,5352.0,6.55,6.57,4.05,5.0,1.0
12837,1.08,Ideal,G,SI1,61.8,56.0,5352.0,6.58,6.55,4.06,2.0,3.0
12838,1.08,Ideal,D,SI2,61.6,57.0,5352.0,6.62,6.58,4.07,1.0,6.0
12839,1.04,Very Good,G,VS2,61.4,63.0,5353.0,6.51,6.55,4.01,3.0,3.0
12840,1.03,Very Good,G,SI1,59.4,60.0,5353.0,6.61,6.66,3.94,2.0,3.0
12841,1.21,Premium,I,SI1,61.6,58.0,5353.0,6.89,6.84,4.23,2.0,1.0
12842,1.06,Ideal,F,SI2,61.8,56.0,5354.0,6.56,6.51,4.04,1.0,4.0
12843,1.25,Ideal,I,SI2,62.0,57.0,5355.0,6.92,6.85,4.27,1.0,1.0
12844,1.25,Ideal,G,SI2,61.6,57.0,5355.0,6.98,6.91,4.28,1.0,3.0
12845,1.02,Premium,H,VS2,62.4,58.0,5356.0,6.39,6.43,4.0,3.0,2.0
12846,1.03,Ideal,F,SI1,62.8,56.0,5356.0,6.38,6.46,4.03,2.0,4.0
12847,1.22,Good,J,VS1,58.5,61.0,5356.0,6.94,7.0,4.08,4.0,0.0
12848,0.9,Good,E,VS1,59.3,56.0,5356.0,6.27,6.32,3.73,4.0,5.0
12849,1.08,Ideal,I,VS2,61.8,54.2,5357.0,6.57,6.6,4.07,3.0,1.0
12850,1.34,Ideal,G,SI2,62.0,55.0,5358.0,7.06,7.03,4.37,1.0,3.0
12851,1.34,Ideal,J,SI2,62.0,56.0,5358.0,7.09,7.03,4.38,1.0,0.0
12852,1.11,Ideal,H,SI1,61.6,56.0,5358.0,6.65,6.69,4.11,2.0,2.0
12853,1.09,Ideal,H,SI1,61.9,57.0,5358.0,6.63,6.58,4.09,2.0,2.0
12854,0.92,Premium,E,VS1,60.9,61.0,5358.0,6.25,6.22,3.8,4.0,5.0
12855,1.11,Ideal,E,SI2,61.2,55.0,5358.0,6.72,6.68,4.1,1.0,5.0
12856,1.1,Ideal,E,SI2,61.6,56.0,5359.0,6.66,6.63,4.09,1.0,5.0
12857,1.12,Very Good,G,SI1,61.1,59.0,5361.0,6.69,6.73,4.1,2.0,3.0
12858,1.1,Ideal,G,SI2,62.1,58.0,5361.0,6.61,6.63,4.11,1.0,3.0
12859,1.05,Ideal,G,SI1,61.9,56.0,5361.0,6.51,6.55,4.04,2.0,3.0
12860,1.05,Ideal,G,SI1,62.3,55.0,5361.0,6.47,6.54,4.05,2.0,3.0
12861,1.11,Good,J,IF,58.3,62.0,5361.0,6.77,6.84,3.97,7.0,0.0
12862,1.24,Ideal,J,VS2,61.8,58.0,5361.0,6.88,6.84,4.24,3.0,0.0
12863,1.25,Very Good,H,SI2,62.7,57.0,5362.0,6.82,6.86,4.29,1.0,2.0
12864,1.06,Ideal,I,VS2,61.0,57.0,5362.0,6.55,6.59,4.01,3.0,1.0
12865,1.12,Ideal,H,SI1,62.0,57.0,5363.0,6.69,6.64,4.13,2.0,2.0
12866,1.12,Premium,H,SI1,62.2,60.0,5363.0,6.65,6.59,4.12,2.0,2.0
12867,1.12,Premium,H,SI1,61.6,59.0,5363.0,6.67,6.63,4.1,2.0,2.0
12868,1.26,Ideal,I,SI2,62.0,56.0,5363.0,7.0,6.94,4.32,1.0,1.0
12869,1.21,Very Good,G,SI2,59.3,59.0,5364.0,6.97,7.0,4.14,1.0,3.0
12870,1.09,Ideal,D,SI2,62.4,57.0,5364.0,6.55,6.6,4.1,1.0,6.0
12871,1.03,Premium,H,VS2,63.0,59.0,5364.0,6.47,6.36,4.04,3.0,2.0
12872,1.03,Ideal,H,VS2,62.3,56.0,5364.0,6.46,6.44,4.02,3.0,2.0
12873,1.03,Premium,H,VS2,60.9,58.0,5364.0,6.55,6.48,3.97,3.0,2.0
12874,1.03,Premium,H,VS2,61.6,61.0,5364.0,6.51,6.44,3.99,3.0,2.0
12875,1.03,Premium,H,VS2,62.6,56.0,5364.0,6.43,6.38,4.01,3.0,2.0
12876,1.03,Ideal,F,SI1,62.6,57.0,5366.0,6.42,6.46,4.03,2.0,4.0
12877,1.01,Premium,E,SI1,58.2,59.0,5366.0,6.59,6.54,3.82,2.0,5.0
12878,1.17,Premium,F,SI1,61.9,60.0,5366.0,6.72,6.66,4.14,2.0,4.0
12879,1.16,Premium,G,SI1,63.0,58.0,5366.0,6.7,6.66,4.21,2.0,3.0
12880,1.14,Very Good,H,SI1,62.9,59.0,5367.0,6.62,6.64,4.17,2.0,2.0
12881,1.07,Very Good,H,SI1,60.4,58.0,5367.0,6.67,6.73,4.05,2.0,2.0
12882,1.02,Ideal,G,SI1,60.6,57.0,5367.0,6.49,6.52,3.94,2.0,3.0
12883,1.22,Premium,I,SI1,62.1,59.0,5368.0,6.8,6.86,4.24,2.0,1.0
12884,1.22,Premium,I,SI1,61.2,59.0,5368.0,6.86,6.9,4.21,2.0,1.0
12885,1.02,Premium,F,SI1,61.4,58.0,5369.0,6.48,6.41,3.96,2.0,4.0
12886,1.13,Very Good,J,VS1,62.1,59.0,5370.0,6.64,6.71,4.14,4.0,0.0
12887,1.05,Premium,H,VS2,62.7,59.0,5370.0,6.43,6.49,4.05,3.0,2.0
12888,1.05,Very Good,H,VS2,59.0,59.0,5370.0,6.68,6.71,3.95,3.0,2.0
12889,1.1,Ideal,H,SI1,62.0,57.0,5370.0,6.66,6.7,4.14,2.0,2.0
12890,1.37,Premium,J,VS1,60.0,62.0,5370.0,7.24,7.21,4.33,4.0,0.0
12891,1.27,Very Good,I,SI2,59.7,57.0,5371.0,6.99,7.04,4.19,1.0,1.0
12892,1.01,Very Good,E,SI1,61.5,60.0,5372.0,6.39,6.42,3.94,2.0,5.0
12893,1.16,Very Good,G,SI1,60.5,60.0,5372.0,6.86,6.77,4.12,2.0,3.0
12894,1.01,Ideal,E,SI1,62.1,57.0,5372.0,6.4,6.45,3.99,2.0,5.0
12895,1.2,Very Good,D,SI2,63.1,57.0,5373.0,6.68,6.75,4.24,1.0,6.0
12896,0.81,Ideal,E,VVS2,62.2,53.7,5373.0,5.97,5.99,3.72,5.0,5.0
12897,1.07,Ideal,I,VS1,62.0,53.0,5373.0,6.61,6.62,4.1,4.0,1.0
12898,1.2,Ideal,I,SI2,61.1,57.0,5373.0,6.86,6.89,4.2,1.0,1.0
12899,0.9,Ideal,E,SI1,61.9,54.0,5373.0,6.19,6.22,3.84,2.0,5.0
12900,1.06,Ideal,H,VS2,61.2,55.0,5373.0,6.61,6.57,4.03,3.0,2.0
12901,1.17,Ideal,H,SI2,61.4,56.0,5373.0,6.83,6.76,4.17,1.0,2.0
12902,1.23,Premium,H,SI2,61.2,57.0,5373.0,6.89,6.86,4.21,1.0,2.0
12903,1.12,Very Good,F,SI1,61.4,63.0,5374.0,6.7,6.68,4.11,2.0,4.0
12904,1.12,Very Good,H,SI2,61.7,59.0,5375.0,6.67,6.71,4.13,1.0,2.0
12905,1.08,Very Good,H,SI1,61.8,53.0,5375.0,6.62,6.63,4.09,2.0,2.0
12906,0.93,Ideal,H,VS1,61.8,55.0,5375.0,6.28,6.26,3.88,4.0,2.0
12907,1.01,Ideal,E,SI1,62.9,56.0,5375.0,6.41,6.38,4.02,2.0,5.0
12908,1.2,Premium,I,VVS2,63.0,60.0,5376.0,6.71,6.63,4.2,5.0,1.0
12909,1.2,Very Good,J,VS1,63.1,59.0,5376.0,6.75,6.65,4.23,4.0,0.0
12910,1.09,Ideal,H,SI1,62.1,55.0,5376.0,6.6,6.64,4.11,2.0,2.0
12911,1.0,Fair,E,VS2,65.0,58.0,5376.0,6.21,6.16,4.02,3.0,5.0
12912,1.13,Premium,D,SI2,62.0,58.0,5376.0,6.68,6.64,4.13,1.0,6.0
12913,1.13,Premium,G,SI1,60.9,60.0,5376.0,6.76,6.67,4.09,2.0,3.0
12914,1.2,Premium,H,SI2,62.2,58.0,5376.0,6.79,6.74,4.21,1.0,2.0
12915,1.2,Ideal,I,SI1,63.5,61.0,5376.0,6.75,6.71,4.27,2.0,1.0
12916,1.2,Ideal,I,SI1,62.6,58.0,5376.0,6.74,6.71,4.21,2.0,1.0
12917,1.28,Premium,H,SI2,60.2,60.0,5376.0,6.97,6.93,4.31,1.0,2.0
12918,1.2,Premium,H,SI2,62.5,58.0,5376.0,6.81,6.76,4.24,1.0,2.0
12919,1.2,Premium,H,SI2,62.3,58.0,5376.0,6.81,6.76,4.23,1.0,2.0
12920,1.2,Premium,H,SI2,62.0,58.0,5376.0,6.91,6.76,4.24,1.0,2.0
12921,1.0,Good,E,VS2,64.0,58.0,5376.0,6.24,6.2,3.99,3.0,5.0
12922,1.03,Ideal,I,VS2,61.2,56.0,5378.0,6.5,6.51,3.98,3.0,1.0
12923,1.13,Ideal,I,SI2,62.0,55.0,5378.0,6.68,6.7,4.15,1.0,1.0
12924,1.18,Ideal,I,SI1,61.5,56.0,5378.0,6.77,6.82,4.18,2.0,1.0
12925,1.01,Good,F,SI1,62.4,59.0,5378.0,6.29,6.33,3.94,2.0,4.0
12926,1.03,Ideal,F,SI1,61.3,57.0,5378.0,6.58,6.51,4.01,2.0,4.0
12927,1.01,Good,E,SI1,64.3,59.0,5379.0,6.23,6.28,4.02,2.0,5.0
12928,1.04,Very Good,E,SI1,63.5,56.0,5381.0,6.41,6.37,4.06,2.0,5.0
12929,1.24,Premium,D,SI2,59.9,59.0,5382.0,7.01,6.95,4.18,1.0,6.0
12930,1.31,Very Good,J,SI1,62.5,55.0,5382.0,6.97,7.05,4.38,2.0,0.0
12931,1.14,Ideal,H,SI1,62.3,56.0,5382.0,6.69,6.77,4.19,2.0,2.0
12932,1.02,Very Good,H,VS2,62.4,57.0,5383.0,6.43,6.35,3.99,3.0,2.0
12933,1.01,Very Good,F,SI1,61.9,58.0,5383.0,6.41,6.44,3.98,2.0,4.0
12934,1.11,Very Good,F,SI1,60.1,61.0,5384.0,6.64,6.74,4.06,2.0,4.0
12935,1.13,Ideal,H,SI1,62.3,56.0,5384.0,6.66,6.69,4.16,2.0,2.0
12936,1.0,Good,E,SI1,58.0,60.0,5384.0,6.48,6.52,3.77,2.0,5.0
12937,1.09,Premium,F,SI1,60.9,59.0,5384.0,6.64,6.59,4.03,2.0,4.0
12938,1.15,Premium,G,SI1,63.0,59.0,5384.0,6.68,6.63,4.19,2.0,3.0
12939,1.09,Premium,F,SI1,62.7,58.0,5384.0,6.56,6.51,4.1,2.0,4.0
12940,1.0,Very Good,G,VS2,60.0,55.0,5385.0,6.41,6.52,3.88,3.0,3.0
12941,1.2,Ideal,G,SI2,62.2,56.0,5385.0,6.74,6.84,4.22,1.0,3.0
12942,1.0,Ideal,I,VS1,60.4,55.0,5385.0,6.49,6.52,3.93,4.0,1.0
12943,1.01,Fair,D,SI1,66.0,57.0,5385.0,6.29,6.22,4.13,2.0,6.0
12944,1.01,Fair,D,SI1,65.0,57.0,5385.0,6.3,6.22,4.07,2.0,6.0
12945,1.01,Very Good,D,SI1,60.8,57.0,5386.0,6.58,6.54,3.99,2.0,6.0
12946,0.9,Ideal,F,VS1,61.6,56.0,5386.0,6.2,6.23,3.83,4.0,4.0
12947,1.11,Ideal,H,SI1,62.7,56.0,5386.0,6.65,6.59,4.15,2.0,2.0
12948,1.23,Good,J,VS2,63.6,57.0,5386.0,6.79,6.74,4.3,3.0,0.0
12949,0.9,Very Good,E,SI1,61.4,56.0,5387.0,6.19,6.23,3.81,2.0,5.0
12950,1.01,Ideal,H,SI1,61.7,57.0,5387.0,6.37,6.44,3.96,2.0,2.0
12951,1.01,Ideal,H,SI1,61.2,57.0,5387.0,6.42,6.47,3.95,2.0,2.0
12952,1.01,Ideal,G,SI1,61.2,57.0,5387.0,6.44,6.5,3.96,2.0,3.0
12953,1.3,Ideal,H,VS2,62.9,56.0,5387.0,7.0,6.96,4.39,3.0,2.0
12954,1.21,Premium,F,SI2,61.5,61.0,5387.0,6.82,6.77,4.18,1.0,4.0
12955,1.21,Very Good,I,VS2,63.4,57.0,5387.0,6.79,6.72,4.28,3.0,1.0
12956,1.0,Premium,H,VS1,61.5,57.0,5387.0,6.44,6.37,3.94,4.0,2.0
12957,1.0,Premium,H,VS1,60.7,59.0,5387.0,6.44,6.4,3.9,4.0,2.0
12958,1.21,Ideal,I,VS2,62.3,58.0,5387.0,6.79,6.75,4.22,3.0,1.0
12959,1.16,Ideal,H,SI2,60.9,59.0,5388.0,6.72,6.78,4.11,1.0,2.0
12960,1.21,Ideal,J,SI1,62.7,55.2,5390.0,6.79,6.84,4.27,2.0,0.0
12961,1.0,Very Good,D,SI1,62.1,58.0,5390.0,6.34,6.45,3.97,2.0,6.0
12962,1.0,Very Good,D,SI1,62.1,61.0,5390.0,6.3,6.32,3.92,2.0,6.0
12963,1.0,Very Good,D,SI1,61.3,54.0,5390.0,6.37,6.39,3.91,2.0,6.0
12964,1.0,Premium,D,SI1,61.5,60.0,5390.0,6.34,6.38,3.91,2.0,6.0
12965,1.19,Very Good,J,SI1,60.0,57.0,5390.0,6.93,6.89,4.15,2.0,0.0
12966,0.92,Good,G,VVS2,58.8,57.0,5390.0,6.32,6.37,3.73,5.0,3.0
12967,1.25,Premium,I,SI1,59.7,59.0,5390.0,7.03,6.97,4.18,2.0,1.0
12968,1.12,Ideal,I,VS2,61.2,54.0,5392.0,6.74,6.77,4.13,3.0,1.0
12969,1.14,Ideal,J,VS1,61.5,57.0,5392.0,6.7,6.73,4.13,4.0,0.0
12970,1.06,Ideal,G,SI1,60.5,57.0,5393.0,6.64,6.59,4.0,2.0,3.0
12971,1.02,Very Good,H,VS2,60.6,60.0,5393.0,6.55,6.48,3.95,3.0,2.0
12972,1.01,Very Good,H,VS2,61.6,57.0,5393.0,6.41,6.44,3.96,3.0,2.0
12973,1.03,Very Good,E,SI2,61.7,54.9,5393.0,6.46,6.52,4.01,1.0,5.0
12974,1.03,Very Good,D,SI1,61.8,57.0,5393.0,6.49,6.53,4.02,2.0,6.0
12975,1.07,Ideal,E,SI2,61.4,57.0,5393.0,6.62,6.57,4.05,1.0,5.0
12976,1.06,Premium,D,SI2,62.5,56.0,5393.0,6.61,6.47,4.09,1.0,6.0
12977,0.91,Good,G,SI1,57.7,58.0,5394.0,6.33,6.4,3.67,2.0,3.0
12978,1.01,Very Good,D,SI1,59.8,56.0,5394.0,6.57,6.6,3.94,2.0,6.0
12979,1.25,Ideal,I,SI2,61.4,55.0,5395.0,6.92,6.99,4.27,1.0,1.0
12980,1.11,Ideal,H,SI1,62.5,56.0,5395.0,6.65,6.63,4.15,2.0,2.0
12981,1.11,Premium,H,VS2,60.9,57.0,5395.0,6.77,6.69,4.1,3.0,2.0
12982,1.11,Premium,H,VS2,62.0,59.0,5395.0,6.66,6.59,4.11,3.0,2.0
12983,1.11,Ideal,G,SI2,61.7,57.0,5395.0,6.69,6.65,4.12,1.0,3.0
12984,1.25,Premium,J,VS2,62.2,59.0,5396.0,6.88,6.86,4.27,3.0,0.0
12985,1.0,Premium,E,SI1,60.5,59.0,5396.0,6.45,6.4,3.89,2.0,5.0
12986,1.0,Very Good,E,SI1,63.2,57.0,5396.0,6.39,6.36,4.03,2.0,5.0
12987,1.0,Ideal,E,SI1,62.3,55.0,5396.0,6.41,6.34,3.97,2.0,5.0
12988,1.0,Premium,E,SI1,61.7,58.0,5396.0,6.42,6.35,3.94,2.0,5.0
12989,1.22,Very Good,E,SI1,63.4,56.0,5397.0,6.79,6.76,4.29,2.0,5.0
12990,1.02,Ideal,G,SI1,61.5,57.0,5398.0,6.54,6.44,3.99,2.0,3.0
12991,1.02,Very Good,F,SI1,63.2,59.0,5398.0,6.38,6.35,4.02,2.0,4.0
12992,1.26,Premium,I,SI2,62.2,58.0,5398.0,6.98,6.92,4.32,1.0,1.0
12993,1.02,Premium,F,SI1,62.3,58.0,5398.0,6.46,6.38,4.0,2.0,4.0
12994,1.02,Ideal,F,SI1,62.8,55.0,5398.0,6.43,6.4,4.03,2.0,4.0
12995,1.26,Ideal,J,SI1,62.0,56.0,5398.0,6.93,6.9,4.29,2.0,0.0
12996,1.01,Premium,H,VS2,61.5,59.0,5400.0,6.49,6.48,3.99,3.0,2.0
12997,1.05,Premium,E,SI2,60.3,61.0,5400.0,6.62,6.57,3.98,1.0,5.0
12998,1.09,Ideal,I,VS1,62.7,54.0,5401.0,6.6,6.54,4.12,4.0,1.0
12999,1.09,Premium,G,SI1,60.2,60.0,5402.0,6.7,6.66,4.02,2.0,3.0
13000,1.0,Premium,H,VS2,62.4,59.0,5404.0,6.75,6.72,4.2,3.0,2.0
13001,1.22,Premium,I,VS2,60.1,58.0,5405.0,6.92,7.0,4.18,3.0,1.0
13002,2.14,Fair,J,I1,69.4,57.0,5405.0,7.74,7.7,5.36,0.0,0.0
13003,1.07,Ideal,F,SI2,61.6,57.0,5405.0,6.56,6.53,4.03,1.0,4.0
13004,1.21,Premium,G,SI2,62.7,59.0,5405.0,6.74,6.66,4.2,1.0,3.0
13005,1.27,Ideal,F,SI2,62.0,55.0,5405.0,6.95,6.9,4.3,1.0,4.0
13006,1.19,Ideal,D,SI2,60.4,55.0,5406.0,6.89,6.91,4.17,1.0,6.0
13007,1.05,Very Good,H,SI1,60.5,58.0,5406.0,6.55,6.6,3.98,2.0,2.0
13008,1.21,Good,H,SI1,63.8,64.0,5407.0,6.72,6.63,4.26,2.0,2.0
13009,1.02,Premium,G,VS2,62.7,58.0,5407.0,6.44,6.36,4.01,3.0,3.0
13010,1.49,Good,I,SI2,64.3,59.0,5407.0,7.2,7.1,4.6,1.0,1.0
13011,1.23,Ideal,J,SI1,62.2,57.0,5407.0,6.89,6.81,4.26,2.0,0.0
13012,1.1,Ideal,G,SI2,62.5,55.0,5407.0,6.61,6.66,4.15,1.0,3.0
13013,1.0,Good,F,VS2,64.4,56.0,5407.0,6.23,6.28,4.03,3.0,4.0
13014,1.2,Very Good,H,SI2,60.2,58.0,5408.0,6.88,6.94,4.16,1.0,2.0
13015,1.13,Very Good,D,SI2,62.3,60.0,5408.0,6.59,6.7,4.14,1.0,6.0
13016,1.2,Very Good,I,SI1,62.2,55.0,5408.0,6.75,6.92,4.25,2.0,1.0
13017,1.2,Very Good,I,SI1,60.0,60.0,5408.0,6.81,6.89,4.11,2.0,1.0
13018,1.2,Very Good,I,SI1,62.8,57.0,5408.0,6.7,6.74,4.22,2.0,1.0
13019,1.11,Ideal,G,SI1,61.9,57.0,5408.0,6.63,6.66,4.11,2.0,3.0
13050,1.11,Premium,G,SI1,62.7,57.0,5408.0,6.62,6.5,4.11,2.0,3.0
13051,1.11,Premium,G,SI1,62.3,58.0,5408.0,6.61,6.52,4.09,2.0,3.0
13052,1.09,Ideal,D,SI2,61.7,59.0,5410.0,6.64,6.62,4.09,1.0,6.0
13053,1.5,Premium,F,I1,60.6,62.0,5410.0,7.24,7.22,4.38,0.0,4.0
13054,1.03,Premium,D,SI1,60.5,61.0,5410.0,6.47,6.43,3.9,2.0,6.0
13055,1.13,Premium,H,SI1,62.1,58.0,5410.0,6.7,6.66,4.15,2.0,2.0
13056,1.0,Premium,F,SI1,60.6,62.0,5410.0,6.43,6.4,3.89,2.0,4.0
13057,1.01,Very Good,E,SI1,59.6,61.0,5411.0,6.47,6.51,3.87,2.0,5.0
13058,1.01,Very Good,E,SI1,62.8,57.0,5411.0,6.35,6.39,4.0,2.0,5.0
13059,0.91,Ideal,H,VVS2,61.7,57.0,5411.0,6.21,6.23,3.84,5.0,2.0
13060,0.93,Ideal,E,VS2,62.4,56.0,5411.0,6.26,6.3,3.92,3.0,5.0
13061,1.03,Ideal,E,SI1,62.0,55.0,5411.0,6.46,6.5,4.02,2.0,5.0
13062,1.01,Good,E,SI1,63.2,59.0,5411.0,6.27,6.35,3.99,2.0,5.0
13063,1.16,Fair,H,SI1,65.8,58.0,5411.0,6.54,6.46,4.28,2.0,2.0
13064,1.16,Ideal,H,SI1,64.2,59.0,5411.0,6.66,6.61,4.26,2.0,2.0
13065,1.23,Good,H,SI2,63.8,57.4,5412.0,6.72,6.78,4.31,1.0,2.0
13066,1.5,Ideal,I,I1,61.8,57.0,5412.0,7.31,7.39,4.54,0.0,1.0
13067,1.2,Ideal,I,SI1,61.8,56.0,5412.0,6.77,6.8,4.19,2.0,1.0
13068,1.23,Premium,I,SI1,62.5,59.0,5412.0,6.8,6.84,4.26,2.0,1.0
13069,1.23,Premium,J,VS1,62.7,58.0,5412.0,6.79,6.82,4.27,4.0,0.0
